Euclidean,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 2, 8.0648438035706409E18, 2.3926789320249905E28, 2.9668013296992216E9, 0.20890413095539795, 0.791095869044602, 
Euclidean,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 4, 6.8147198341154273E18, 2.552176800654578E27, 3.7450942412599695E8, 0.14894508889200497, 0.851054911107995, 
Euclidean,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 6, 6.1416897590463693E18, 1.5169657345496454E27, 2.469948489852062E8, 0.23185663504654164, 0.7681433649534584, 
Manhattan,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 2, 2.1174731931415958E11, 7.3373261948171168E16, 346513.29795259744, 0.11358998672766685, 0.8864100132723332, 
Manhattan,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 4, 1.8216902742796722E11, 2.119022704618999E15, 11632.178831590332, 0.2829477911489814, 0.7170522088510186, 
Manhattan,WSS,BSS,BSS/WSS,InformationGain,WeightedEntropy
k = 6, 1.67926024911724E11, 1.3898251140787478E15, 8276.412871735374, 0.31522609188813777, 0.6847739081118622, 
 
Euclidean,Entropy, Weighted Entropy
0, 0.6193821946787638, 0.33549868878433037
1, 0.9940302114769565, 0.4555971802602717
Euclidean,Entropy, Weighted Entropy
0, 0.6840384356390417, 0.20901174422304053
1, 0.9182958340544896, 0.3060986113514965
2, 0.9366673818775626, 0.22115757627664673
3, 0.9182958340544896, 0.1147869792568112
Euclidean,Entropy, Weighted Entropy
0, 0.0, 0.0
1, 0.8453509366224365, 0.25830167507907786
2, 0.8112781244591328, 0.09014201382879253
3, 0.5746356978376794, 0.1755831298948465
4, 0.8904916402194913, 0.16078321281740815
5, 1.0, 0.08333333333333333
Manhattan,Entropy, Weighted Entropy
0, 0.5916727785823275, 0.11504748472434145
1, 0.9575534837147482, 0.7713625285479917
Manhattan,Entropy, Weighted Entropy
0, 0.8426578772022391, 0.561771918134826
1, 0.4689955935892812, 0.06513827688740018
2, 0.8112781244591328, 0.09014201382879253
3, 0.0, 0.0
Manhattan,Entropy, Weighted Entropy
0, 0.9811522341999133, 0.4224405452805182
1, 0.5665095065529053, 0.11802281386518862
2, 0.863120568566631, 0.0839144997217558
3, 0.5435644431995964, 0.0603960492443996
4, 0.0, 0.0
5, 0.0, 0.0
